2018-11-25 19:22:13,131: Key.alt_l:
2018-11-25 19:22:13,290: Key.tab:
2018-11-25 19:22:15,021: Key.ctrl_l:
2018-11-25 19:22:15,340: 't':
2018-11-25 19:22:16,200: Key.shift:
2018-11-25 19:22:16,490: 'a':
2018-11-25 19:22:16,701: 'l':
2018-11-25 19:22:16,840: 'l':
2018-11-25 19:22:16,950: Key.space:
2018-11-25 19:22:17,130: 'f':
2018-11-25 19:22:17,531: Key.backspace:
2018-11-25 19:22:17,710: 't':
2018-11-25 19:22:17,810: 'h':
2018-11-25 19:22:17,921: 'e':
2018-11-25 19:22:18,011: Key.space:
2018-11-25 19:22:18,220: 'f':
2018-11-25 19:22:18,310: 'u':
2018-11-25 19:22:18,431: 'c':
2018-11-25 19:22:18,520: 'k':
2018-11-25 19:22:18,671: 'i':
2018-11-25 19:22:18,741: 'n':
2018-11-25 19:22:18,821: 'g':
2018-11-25 19:22:18,913: Key.space:
2018-11-25 19:22:19,051: 'l':
2018-11-25 19:22:19,201: 'o':
2018-11-25 19:36:22,930: 'g':
2018-11-25 19:22:20,141: Key.alt_l:
2018-11-25 19:22:20,221: Key.tab:
2018-11-25 19:22:55,032: Key.alt_l:
2018-11-25 19:22:55,162: Key.tab:
2018-11-25 19:22:56,042: Key.tab:
2018-11-25 19:22:56,292: Key.tab:
2018-11-25 19:22:56,522: Key.tab:
2018-11-25 19:22:56,822: Key.tab:
2018-11-25 19:22:57,162: Key.tab:
2018-11-25 19:23:52,184: Key.alt_l:
2018-11-25 19:23:52,274: Key.tab:
2018-11-25 19:23:53,214: Key.alt_l:
2018-11-25 19:23:53,303: Key.tab:
2018-11-25 19:23:53,823: Key.tab:
2018-11-25 19:36:13,704: Key.space:
2018-11-25 19:36:21,256: 'y':
2018-11-25 19:36:21,326: 'o':
2018-11-25 19:36:21,446: 'u':
2018-11-25 19:36:21,646: Key.tab:
2018-11-25 19:36:22,135: Key.backspace:
2018-11-25 19:36:22,635: Key.backspace:
2018-11-25 19:36:22,668: Key.backspace:
2018-11-25 19:36:22,700: Key.backspace:
2018-11-25 19:36:22,735: Key.backspace:
2018-11-25 19:36:22,769: Key.backspace:
2018-11-25 19:36:22,800: Key.backspace:
2018-11-25 19:36:22,833: Key.backspace:
2018-11-25 19:36:22,866: Key.backspace:
2018-11-25 19:36:22,899: Key.backspace:
2018-11-25 19:36:22,931 's':
2018-11-25 19:36:23,029: Key.backspace:
2018-11-25 19:36:23,066: Key.backspace:
2018-11-25 19:36:23,097: Key.backspace:
2018-11-25 19:36:23,131: Key.backspace:
2018-11-25 19:36:23,162: Key.backspace:
2018-11-25 19:36:23,195: Key.backspace:
2018-11-25 19:36:23,228: Key.backspace:
2018-11-25 19:36:23,264: Key.backspace:
2018-11-25 19:36:23,297: Key.backspace:
2018-11-25 19:36:23,329: Key.backspace:
2018-11-25 19:36:23,361: Key.backspace:
2018-11-25 19:36:23,395: Key.backspace:
2018-11-25 19:36:23,427: Key.backspace:
2018-11-25 19:36:23,459: Key.backspace:
2018-11-25 19:36:23,490: Key.backspace:
2018-11-25 19:36:23,531: Key.backspace:
2018-11-25 19:36:23,561: Key.backspace:
2018-11-25 19:36:23,606: Key.backspace:
2018-11-25 19:36:23,628: Key.backspace:
2018-11-25 19:36:23,662: Key.backspace:
2018-11-25 19:36:23,695: Key.backspace:
2018-11-25 19:36:24,086: 'y':
2018-11-25 19:36:24,166: 'o':
2018-11-25 19:36:24,296: 'u':
2018-11-25 19:36:24,415: Key.tab:
2018-11-25 19:36:25,216: 't':
2018-11-25 19:36:25,306: 'y':
2018-11-25 19:36:25,456: 'p':
2018-11-25 19:36:25,906: Key.backspace:
2018-11-25 19:36:26,116: 'c':
2018-11-25 19:36:26,176: 'h':
2018-11-25 19:36:26,275: 'o':
2018-11-25 19:36:26,515: Key.enter:
2018-11-25 19:37:30,561: Key.alt_l:
2018-11-25 19:37:30,682: Key.tab:
2018-11-25 19:37:31,752: Key.tab:
2018-11-25 19:37:32,002: Key.tab:
